subject	day	ado_mean_alpha	ado_mean_beta	ado_mean_gamma	ado_sd_alpha	ado_sd_beta	ado_sd_gamma	n_refits	converged	alpha_2.5%	alpha_25%	alpha_50%	alpha_75%	alpha_97.5%	alpha_mean	alpha_n_eff	alpha_Rhat	alpha_sd	alpha_se_mean	beta_2.5%	beta_25%	beta_50%	beta_75%	beta_97.5%	beta_mean	beta_n_eff	beta_Rhat	beta_sd	beta_se_mean	loggamma_2.5%	loggamma_25%	loggamma_50%	loggamma_75%	loggamma_97.5%	loggamma_mean	loggamma_n_eff	loggamma_Rhat	loggamma_sd	loggamma_se_mean
SMO19201	1	0.99971946289236	0.72451054772783	0.4989217026768401	0.034976049686213	0.10976494404021	0.023276179026213	1	TRUE	1.0521600599075849	1.1530428062980926	1.220758383752657	1.3011425164334463	1.4531756213949065	1.2313044528024164	1395.2055790669701	1.0012758179214576	0.10581535391197577	0.0028328891869237333	0.6739478963047956	0.7616071291376354	0.7955905570018842	0.8297911999108583	0.8946885959925595	0.7937473839931862	2037.6187254732863	1.0002184516216215	0.055106776537374516	0.001220797261032948	-3.836191674984031	-2.86268164586585	-2.3026143775471315	-1.7876869664457606	-1.0822401299256366	-2.3485116335492036	1297.148377264718	1.0025944797277055	0.7370749871838377	0.02046524014839109
SMO19201	2	0.99503516181459	-2.0475661111948e-4	0.0025484579954347	0.63478176383363	0.63245549264182	0.036495486555552	4	TRUE	0.007339981201333738	0.07504638616010363	0.1684465548208755	0.3064607708552616	0.5770055821910052	0.2055746217248084	3544.7488695009147	1.0001768369323507	0.15989268105633486	0.0026855661139990935	-2.8603662340865563	-1.5769465996387988	-0.1201640497288386	1.4266385406177062	2.835450406549652	-0.07802167879239842	3772.407506188692	1.0016215169161675	1.7296983910356827	0.028161843536293262	-3.972456942612873	-3.6843294538101743	-3.285782021405401	-2.7264491757715916	-1.503390007249699	-3.1324644352512916	3343.5654235838274	1.00047504742905	0.6774302235154508	0.011715468375302301
SMO19201	3	0.56977414859336	-0.32384657423938	0.50277243079357	0.13790049947087	0.41812691839076	0.065542349907172	1	TRUE	0.7311653174868552	0.9309735293245953	1.0182264632967626	1.0913059706607835	1.195591789190844	1.0045548827028223	2029.8791928253684	0.9997788498797412	0.11985512518872857	0.002660244254706505	-2.676256342524483	-1.451091841056355	-0.7641572941570447	-0.25281923711431287	0.40207453543099525	-0.8947659112262137	1669.16160095134	1.0023290194644945	0.8321016454013505	0.020367005852046986	-3.973372687750902	-3.6596489509395345	-3.2848589063905242	-2.800235119385374	-1.8563479461125247	-3.1801232734637774	1993.6026703201474	1.0011497380808443	0.589551526690553	0.013203907250086471
SMO19201	5	0.65576896679175	0.065166248093267	0.30062995229522	0.68005040023438	0.6315468411922801	0.47355704790575	1	TRUE	0.019950285730940116	0.22943217699721927	0.45984376937414506	0.7146026911705673	1.0022764291714514	0.475590114070297	1421.3572826301968	1.006875371990195	0.28956647846350586	0.007680626652372619	-2.28356075765113	0.4849496757106132	1.615211621492202	2.352362337893281	2.944353839079275	1.250029890952044	2157.2421938043694	1.0019676717794892	1.4072990838290762	0.030299603953592533	-3.9323387375755408	-3.425409149728599	-2.740638550859408	-1.8513193103756915	-0.28755811018066696	-2.5527783863503384	1896.2468485378322	1.0020203462265203	1.0299472926242899	0.02365198333451987
SMO19201	6	0.32566358485369	-0.6212972854278299	0.7684019668304201	0.106537883045	0.31155317476692	0.49594293090241	1	TRUE	0.10765068210208427	0.4293571223765628	0.6328966768312368	0.8061050462409449	1.0224006968236456	0.6104857468433527	1534.9787083142053	1.0022777912867031	0.24909478303296123	0.006357896503641743	-2.8807231674522606	-1.8324226345386463	-1.0190249953447794	-0.3528760274364018	0.40739461757885975	-1.1137694177014548	1189.988888205392	1.0031141891339306	0.9399281134220678	0.027247282000864768	-3.9101733453938703	-3.181161326994167	-2.316740768791699	-1.340276049600074	0.27418186999190425	-2.190007027846723	1805.4027343516093	1.0017670082055956	1.1789543363108976	0.027746610406579397
SMO19201	8	0.10953402641852	0.44068069119716	1.5204098877647	0.32964348361394	0.49959176262148	0.8444197571176	1	TRUE	0.013184582099345943	0.13344798903576063	0.3032532472833067	0.5338112026486024	0.9109484651538882	0.3530024769222012	1349.0467261058525	1.0010541705627303	0.2578205939253328	0.007019466542531426	-1.3366674143699309	1.0268266315432077	1.5857831415935777	2.1450430076686082	2.908183806923895	1.4644966808915352	1680.0472390536643	1.0010047305140837	1.0040808045229324	0.024496718856622215	-3.892806804750099	-2.728602486251882	-1.58054647306377	-0.5722620622547828	0.4881965880681172	-1.6531784905828077	1308.3447884695213	1.002454275622942	1.2966648146004958	0.03584813957864556
SMO19201	9	0.48114794720848	0.0077862419860742	0.51561131786071	0.63715281935431	0.6290706312020501	0.59532632571192	3	TRUE	0.019673325335856803	0.18447587678929322	0.3765125001840102	0.6081415067604646	0.9244738366091451	0.4076543405011838	1430.7626636203672	1.0018644160932166	0.2628874121211614	0.006950019001372842	-2.7076507725649313	-0.8620135637219454	0.6150878025239923	1.7187719286770484	2.837042596375143	0.3957408251978109	2457.507561533288	1.0017501956481738	1.6035572178765576	0.0323472250129967	-3.9371679750922755	-3.2903878633061447	-2.505399440297772	-1.532895590513783	-0.1336443503020454	-2.356855084399603	1408.8766259142626	1.0023415289194055	1.0908370924209272	0.02906186058918179
SMO19201	10	0.33690284610483	-0.5530474364217199	0.7449529330225501	0.09788725497634	0.28726599002961	0.46074414243471	1	TRUE	0.17624572965843469	0.496309295544121	0.6781518388212138	0.8191936785870098	1.0102211837245405	0.6505323676581204	1453.0542621421994	1.0010626827657751	0.2207783742948085	0.005791827448059866	-2.8229316780112104	-1.5025008285242953	-0.728455631524312	-0.21069509724417163	0.3520485110995099	-0.9117351604313862	1028.3569662921086	1.0005789813544497	0.881816163448225	0.02749831659880443	-3.9445121261565856	-3.3105451891096065	-2.5873961085532775	-1.6773632620351497	-0.07306194219423782	-2.42370018621777	1640.9023964468515	1.0010952687544634	1.0733103535791806	0.02649622140457826
SMO19201	11	0.35505500036563997	0.14088101792638	0.71739118010562	0.5713192447880501	0.62266776985728	0.67259016026144	1	TRUE	0.02139182880223922	0.21350544241966543	0.43250672205822427	0.6799531854649046	0.9941375386027169	0.4554389868184528	1741.4826199046831	1.004432780305051	0.2843325696646991	0.006813449443274644	-2.3666897610490882	0.5720893673333751	1.6562915398523377	2.442468133674748	2.962304588408425	1.2819887517180804	2719.4698363689267	1.0018622721402692	1.4448052991275717	0.027705577224850918	-3.9278274768649246	-3.2589804846749995	-2.373175678224296	-1.3358217625631774	0.054142428687346145	-2.242886510398847	1887.0694549934246	1.0035493682470482	1.1698727869485586	0.02693051733184709
SMO19201	12	0.21178747500237	0.34484209426835	1.0653805093413	0.45460888858349	0.5786677387372701	0.76713960558127	1	TRUE	0.027184321151978372	0.30804279301606546	0.5962006510239788	0.8280827980185732	1.0660669185616662	0.5677006195191464	1676.5555444861168	1.0016001392650313	0.3088269707601921	0.007542342473083863	-0.4288947748443138	1.7438132002450768	2.278424262848951	2.6478562121415794	2.967755105844116	2.055761193541822	2413.6425154966714	1.0018558571338507	0.8804085329406015	0.01792040289712137	-3.935833441024013	-3.2963216014259453	-2.3911153012237643	-1.2157349069023884	0.2696314909255262	-2.196502099030611	1918.8247107131328	1.0006130285104122	1.2522406610863557	0.02858710324471648
